Epoch,ScalVis_DataProcCombine_RecL10N1024val_accuracy,ScalVis_GausVisS:1.0_RecL10N1024val_accuracy,ScalVis_DataProcCombGaus_RecL10N1024val_accuracy,ScalVis_ProcWithVis_RecL10N1024val_accuracy
1,0.644444465637207,0.6222222447395325,0.6222222447395325,0.6222222447395325
2,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
3,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
4,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
5,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
6,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
7,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
8,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
9,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
10,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
11,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
12,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
13,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6222222447395325
14,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6555555462837219
15,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.6666666865348816
16,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.7111111283302307
17,0.6222222447395325,0.6222222447395325,0.6222222447395325,0.7444444298744202
18,0.7111111283302307,0.7777777910232544,0.6333333253860474,0.800000011920929
19,0.7333333492279053,0.7666666507720947,0.6888889074325562,0.8333333134651184
20,0.8111110925674438,0.7666666507720947,0.7666666507720947,0.8222222328186035
21,0.8222222328186035,0.7777777910232544,0.800000011920929,0.7777777910232544
22,0.800000011920929,0.7777777910232544,0.7777777910232544,0.7777777910232544
23,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.7777777910232544
24,0.7888888716697693,0.7777777910232544,0.800000011920929,0.800000011920929
25,0.800000011920929,0.7777777910232544,0.8111110925674438,0.8111110925674438
26,0.8111110925674438,0.800000011920929,0.8111110925674438,0.8111110925674438
27,0.8111110925674438,0.7888888716697693,0.8222222328186035,0.8222222328186035
28,0.8111110925674438,0.7888888716697693,0.8111110925674438,0.8111110925674438
29,0.8111110925674438,0.7666666507720947,0.800000011920929,0.800000011920929
30,0.8333333134651184,0.7888888716697693,0.8111110925674438,0.800000011920929
31,0.8333333134651184,0.7666666507720947,0.7888888716697693,0.800000011920929
32,0.8222222328186035,0.7888888716697693,0.7888888716697693,0.800000011920929
33,0.8111110925674438,0.7777777910232544,0.800000011920929,0.800000011920929
34,0.8111110925674438,0.7888888716697693,0.800000011920929,0.800000011920929
35,0.800000011920929,0.7777777910232544,0.800000011920929,0.800000011920929
36,0.800000011920929,0.7888888716697693,0.800000011920929,0.800000011920929
37,0.800000011920929,0.7777777910232544,0.800000011920929,0.8111110925674438
38,0.8111110925674438,0.7888888716697693,0.800000011920929,0.8333333134651184
39,0.8222222328186035,0.8111110925674438,0.800000011920929,0.8333333134651184
40,0.8444444537162781,0.8222222328186035,0.800000011920929,0.8444444537162781
41,0.8333333134651184,0.8111110925674438,0.800000011920929,0.855555534362793
42,0.8333333134651184,0.8111110925674438,0.800000011920929,0.8333333134651184
43,0.8333333134651184,0.8222222328186035,0.800000011920929,0.8333333134651184
44,0.8333333134651184,0.8222222328186035,0.800000011920929,0.8333333134651184
45,0.8333333134651184,0.8111110925674438,0.800000011920929,0.8333333134651184
46,0.8333333134651184,0.8111110925674438,0.800000011920929,0.8444444537162781
47,0.8444444537162781,0.8222222328186035,0.800000011920929,0.855555534362793
48,0.8444444537162781,0.8111110925674438,0.800000011920929,0.8666666746139526
49,0.8444444537162781,0.8111110925674438,0.8222222328186035,0.8666666746139526
50,0.8444444537162781,0.8111110925674438,0.8222222328186035,0.855555534362793
51,0.855555534362793,0.800000011920929,0.8222222328186035,0.8666666746139526
52,0.855555534362793,0.8111110925674438,0.8444444537162781,0.855555534362793
53,0.855555534362793,0.800000011920929,0.8444444537162781,0.855555534362793
54,0.855555534362793,0.8111110925674438,0.855555534362793,0.855555534362793
55,0.855555534362793,0.800000011920929,0.855555534362793,0.855555534362793
56,0.855555534362793,0.800000011920929,0.855555534362793,0.855555534362793
57,0.855555534362793,0.8111110925674438,0.855555534362793,0.855555534362793
58,0.855555534362793,0.8111110925674438,0.855555534362793,0.855555534362793
59,0.855555534362793,0.8111110925674438,0.855555534362793,0.855555534362793
60,0.8666666746139526,0.800000011920929,0.855555534362793,0.855555534362793
61,0.855555534362793,0.8111110925674438,0.855555534362793,0.855555534362793
62,0.8666666746139526,0.8111110925674438,0.855555534362793,0.855555534362793
63,0.8666666746139526,0.800000011920929,0.855555534362793,0.8444444537162781
64,0.8666666746139526,0.7666666507720947,0.855555534362793,0.855555534362793
65,0.8666666746139526,0.800000011920929,0.855555534362793,0.855555534362793
66,0.8666666746139526,0.800000011920929,0.855555534362793,0.8444444537162781
67,0.855555534362793,0.800000011920929,0.855555534362793,0.855555534362793
68,0.855555534362793,0.8111110925674438,0.8444444537162781,0.8333333134651184
69,0.855555534362793,0.8111110925674438,0.8666666746139526,0.855555534362793
70,0.8444444537162781,0.800000011920929,0.8666666746139526,0.855555534362793
71,0.855555534362793,0.800000011920929,0.8666666746139526,0.8333333134651184
72,0.855555534362793,0.8111110925674438,0.8666666746139526,0.8444444537162781
73,0.8444444537162781,0.8222222328186035,0.8666666746139526,0.8222222328186035
74,0.8333333134651184,0.8111110925674438,0.8666666746139526,0.855555534362793
75,0.855555534362793,0.8222222328186035,0.8666666746139526,0.8333333134651184
76,0.8333333134651184,0.8222222328186035,0.855555534362793,0.8444444537162781
77,0.8444444537162781,0.8111110925674438,0.8666666746139526,0.8444444537162781
78,0.8444444537162781,0.8222222328186035,0.8666666746139526,0.8222222328186035
79,0.8222222328186035,0.8333333134651184,0.8444444537162781,0.8333333134651184
80,0.8333333134651184,0.8333333134651184,0.8444444537162781,0.8222222328186035
81,0.8222222328186035,0.8666666746139526,0.8444444537162781,0.8444444537162781
82,0.8222222328186035,0.855555534362793,0.8333333134651184,0.8444444537162781
83,0.8333333134651184,0.8444444537162781,0.8444444537162781,0.8111110925674438
84,0.8222222328186035,0.8666666746139526,0.8333333134651184,0.8333333134651184
85,0.8222222328186035,0.8666666746139526,0.8111110925674438,0.8333333134651184
86,0.8111110925674438,0.855555534362793,0.8444444537162781,0.8444444537162781
87,0.8222222328186035,0.8333333134651184,0.8111110925674438,0.8111110925674438
88,0.8222222328186035,0.855555534362793,0.8222222328186035,0.8111110925674438
89,0.8222222328186035,0.8333333134651184,0.8333333134651184,0.8333333134651184
90,0.800000011920929,0.855555534362793,0.8333333134651184,0.8222222328186035
91,0.800000011920929,0.8444444537162781,0.8444444537162781,0.8444444537162781
92,0.8111110925674438,0.8222222328186035,0.8333333134651184,0.8333333134651184
93,0.8222222328186035,0.8222222328186035,0.8222222328186035,0.8444444537162781
94,0.8333333134651184,0.855555534362793,0.8222222328186035,0.8222222328186035
95,0.8333333134651184,0.800000011920929,0.8111110925674438,0.8111110925674438
96,0.8333333134651184,0.8333333134651184,0.800000011920929,0.8444444537162781
97,0.800000011920929,0.8333333134651184,0.8333333134651184,0.8222222328186035
98,0.800000011920929,0.8222222328186035,0.8222222328186035,0.8222222328186035
99,0.8333333134651184,0.8666666746139526,0.8333333134651184,0.8111110925674438
100,0.8222222328186035,0.8444444537162781,0.8111110925674438,0.8111110925674438
101,0.8333333134651184,0.8444444537162781,0.8111110925674438,0.8333333134651184
102,0.800000011920929,0.855555534362793,0.8111110925674438,0.8222222328186035
103,0.8111110925674438,0.855555534362793,0.8111110925674438,0.8222222328186035
104,0.8111110925674438,0.855555534362793,0.8222222328186035,0.8111110925674438
105,0.8111110925674438,0.855555534362793,0.8111110925674438,0.8111110925674438
106,0.8111110925674438,0.8666666746139526,0.8111110925674438,0.8222222328186035
107,0.8111110925674438,0.8444444537162781,0.8111110925674438,0.8222222328186035
108,0.8111110925674438,0.8666666746139526,0.8111110925674438,0.8333333134651184
109,0.8111110925674438,0.855555534362793,0.8111110925674438,0.8222222328186035
110,0.800000011920929,0.855555534362793,0.8222222328186035,0.8111110925674438
111,0.800000011920929,0.8666666746139526,0.800000011920929,0.8111110925674438
112,0.8111110925674438,0.8666666746139526,0.8111110925674438,0.8111110925674438
113,0.8222222328186035,0.855555534362793,0.8111110925674438,0.8111110925674438
114,0.8111110925674438,0.855555534362793,0.8111110925674438,0.8222222328186035
115,0.8111110925674438,0.855555534362793,0.8222222328186035,0.8333333134651184
116,0.8111110925674438,0.855555534362793,0.8111110925674438,0.8333333134651184
117,0.8111110925674438,0.855555534362793,0.8111110925674438,0.8111110925674438
118,0.800000011920929,0.855555534362793,0.8111110925674438,0.8111110925674438
119,0.8111110925674438,0.855555534362793,0.8111110925674438,0.8222222328186035
120,0.800000011920929,0.855555534362793,0.8111110925674438,0.8111110925674438
121,0.8111110925674438,0.855555534362793,0.8111110925674438,0.8222222328186035
122,0.8111110925674438,0.8444444537162781,0.8222222328186035,0.8111110925674438
123,0.8111110925674438,0.8444444537162781,0.8111110925674438,0.8111110925674438
124,0.8111110925674438,0.8444444537162781,0.8111110925674438,0.8111110925674438
125,0.800000011920929,0.855555534362793,0.8111110925674438,0.8111110925674438
126,0.8222222328186035,0.8222222328186035,0.8111110925674438,0.8222222328186035
127,0.8111110925674438,0.8444444537162781,0.8222222328186035,0.8111110925674438
128,0.8111110925674438,0.855555534362793,0.8111110925674438,0.8111110925674438
129,0.8111110925674438,0.8333333134651184,0.8222222328186035,0.8111110925674438
130,0.800000011920929,0.8444444537162781,0.8111110925674438,0.8111110925674438
131,0.8222222328186035,0.8333333134651184,0.8111110925674438,0.8222222328186035
132,0.800000011920929,0.8222222328186035,0.8222222328186035,0.8111110925674438
133,0.8111110925674438,0.8444444537162781,0.8111110925674438,0.8222222328186035
134,0.8111110925674438,0.8444444537162781,0.8222222328186035,0.8111110925674438
135,0.8111110925674438,0.8222222328186035,0.8111110925674438,0.8111110925674438
136,0.8111110925674438,0.8444444537162781,0.8111110925674438,0.8111110925674438
137,0.800000011920929,0.8333333134651184,0.8111110925674438,0.8111110925674438
138,0.8222222328186035,0.8333333134651184,0.8111110925674438,0.8222222328186035
139,0.8111110925674438,0.8222222328186035,0.8222222328186035,0.8111110925674438
140,0.8111110925674438,0.8222222328186035,0.8111110925674438,0.8333333134651184
141,0.8111110925674438,0.8222222328186035,0.8111110925674438,0.8111110925674438
142,0.8111110925674438,0.8333333134651184,0.8111110925674438,0.8111110925674438
143,0.8222222328186035,0.8222222328186035,0.8111110925674438,0.8222222328186035
144,0.800000011920929,0.8222222328186035,0.8222222328186035,0.8111110925674438
145,0.8111110925674438,0.800000011920929,0.8111110925674438,0.8111110925674438
146,0.8111110925674438,0.8111110925674438,0.8222222328186035,0.8111110925674438
147,0.8111110925674438,0.8333333134651184,0.8111110925674438,0.8111110925674438
148,0.8111110925674438,0.8222222328186035,0.8111110925674438,0.8111110925674438
149,0.8111110925674438,0.8333333134651184,0.8111110925674438,0.8111110925674438
150,0.8222222328186035,0.8222222328186035,0.8111110925674438,0.8111110925674438
151,0.8111110925674438,0.8333333134651184,0.8333333134651184,0.8111110925674438
152,0.8111110925674438,0.8333333134651184,0.8111110925674438,0.8111110925674438
153,0.8111110925674438,0.8222222328186035,0.8111110925674438,0.8222222328186035
154,0.8111110925674438,0.8222222328186035,0.8111110925674438,0.8111110925674438
155,0.8111110925674438,0.8222222328186035,0.8111110925674438,0.8111110925674438
156,0.8111110925674438,0.8333333134651184,0.8222222328186035,0.8111110925674438
157,0.8222222328186035,0.855555534362793,0.8222222328186035,0.8111110925674438
158,0.800000011920929,0.8222222328186035,0.8111110925674438,0.8222222328186035
159,0.8111110925674438,0.8333333134651184,0.8111110925674438,0.8111110925674438
160,0.8111110925674438,0.8333333134651184,0.8111110925674438,0.8111110925674438
