Epoch,ScalVis_DataProcCombine_RecL10N1024val_loss,ScalVis_GausVisS:1.0_RecL10N1024val_loss,ScalVis_DataProcCombGaus_RecL10N1024val_loss,ScalVis_ProcWithVis_RecL10N1024val_loss
1,0.6912807822227478,0.6826513409614563,0.6906468272209167,0.6905007362365723
2,0.6892761588096619,0.6743221879005432,0.6883575320243835,0.6881236433982849
3,0.6872271299362183,0.6649596691131592,0.6858651638031006,0.6856479048728943
4,0.6848574876785278,0.6538543701171875,0.6829550862312317,0.6827932596206665
5,0.6820307374000549,0.6406815648078918,0.679486870765686,0.679274320602417
6,0.678559422492981,0.6253739595413208,0.675343930721283,0.6749346256256104
7,0.6743177175521851,0.6081339716911316,0.6703550815582275,0.6696537733078003
8,0.6691778898239136,0.5897851586341858,0.6644153594970703,0.6632775068283081
9,0.6630234718322754,0.571767270565033,0.6574319005012512,0.6556815505027771
10,0.6556572914123535,0.5559714436531067,0.6493005752563477,0.646699845790863
11,0.6468886733055115,0.5445480346679688,0.6399095058441162,0.6362427473068237
12,0.6366174221038818,0.5386653542518616,0.6291605830192566,0.6242545247077942
13,0.6247771382331848,0.5370943546295166,0.617087721824646,0.6107627153396606
14,0.6114508509635925,0.5362994074821472,0.6038332581520081,0.5958978533744812
15,0.596831738948822,0.5333736538887024,0.5895898342132568,0.5800547003746033
16,0.5811618566513062,0.5280799865722656,0.5747843384742737,0.5636888146400452
17,0.564929723739624,0.5227299332618713,0.5598786473274231,0.5475762486457825
18,0.5488793253898621,0.5203028321266174,0.5454959273338318,0.5326426029205322
19,0.533880352973938,0.5202364325523376,0.5321710109710693,0.5198425650596619
20,0.5207269191741943,0.5181768536567688,0.5203739404678345,0.509523332118988
21,0.5100294351577759,0.5145174860954285,0.5103409886360168,0.5012232661247253
22,0.5016335248947144,0.5129429697990417,0.501910924911499,0.4937589764595032
23,0.4945753216743469,0.5134289860725403,0.49482208490371704,0.4866989552974701
24,0.4882732331752777,0.5124152302742004,0.4890407621860504,0.4814651906490326
25,0.48307672142982483,0.5085222125053406,0.4846959114074707,0.4775955080986023
26,0.47911500930786133,0.5050021409988403,0.481794536113739,0.4753558337688446
27,0.47632354497909546,0.5053821802139282,0.48029083013534546,0.47574856877326965
28,0.4756101071834564,0.5035405158996582,0.48020926117897034,0.4769396185874939
29,0.4762131869792938,0.5016046762466431,0.4812246859073639,0.47916802763938904
30,0.4781401455402374,0.502709686756134,0.4830498993396759,0.4794052243232727
31,0.47915148735046387,0.5015729665756226,0.48501065373420715,0.4780671000480652
32,0.4787726104259491,0.5008869767189026,0.4866366982460022,0.47393739223480225
33,0.477197527885437,0.5033719539642334,0.48770081996917725,0.4680212140083313
34,0.47390735149383545,0.5006164908409119,0.4875829517841339,0.45935821533203125
35,0.46671774983406067,0.5009504556655884,0.48574116826057434,0.4508260488510132
36,0.45839130878448486,0.4991236925125122,0.4829261302947998,0.4432545006275177
37,0.45005396008491516,0.4989986717700958,0.47934451699256897,0.4366118609905243
38,0.4409472942352295,0.495405375957489,0.47498083114624023,0.42956992983818054
39,0.4315744936466217,0.49161168932914734,0.4706796109676361,0.4237760305404663
40,0.4236864745616913,0.4879146218299866,0.4665471911430359,0.41760143637657166
41,0.41641584038734436,0.4847801625728607,0.46251124143600464,0.40954577922821045
42,0.40834563970565796,0.480906218290329,0.45882177352905273,0.4042684733867645
43,0.40226051211357117,0.4774734377861023,0.45536917448043823,0.3983861804008484
44,0.3962123990058899,0.4737164080142975,0.451764851808548,0.394698828458786
45,0.3908616304397583,0.4710434377193451,0.44805264472961426,0.3928866982460022
46,0.3889669179916382,0.46676933765411377,0.4440435767173767,0.38791996240615845
47,0.38480159640312195,0.46375834941864014,0.43945062160491943,0.39138713479042053
48,0.38814812898635864,0.4603758156299591,0.4346042275428772,0.3814038932323456
49,0.37999793887138367,0.4563712179660797,0.4287811815738678,0.38483476638793945
50,0.38937240839004517,0.45266634225845337,0.4223867952823639,0.377169668674469
51,0.37377166748046875,0.4492570757865906,0.4145331084728241,0.3715795874595642
52,0.37251073122024536,0.44668328762054443,0.4061031639575958,0.37708383798599243
53,0.3795360028743744,0.44248008728027344,0.3968751132488251,0.37535807490348816
54,0.36566466093063354,0.4377157986164093,0.390045702457428,0.3697388470172882
55,0.3726058900356293,0.43312957882881165,0.3806418180465698,0.3762364387512207
56,0.3738616108894348,0.42855191230773926,0.3971588909626007,0.37886369228363037
57,0.3660290539264679,0.4243060350418091,0.375595360994339,0.3724609911441803
58,0.37639346718788147,0.4241366982460022,0.37274470925331116,0.37889569997787476
59,0.3761134147644043,0.4250689148902893,0.39245110750198364,0.3828294575214386
60,0.37171533703804016,0.4161767363548279,0.38081106543540955,0.3751365542411804
61,0.3825540840625763,0.4226270318031311,0.372856467962265,0.3819354176521301
62,0.3792635500431061,0.4224906861782074,0.3724590241909027,0.38297533988952637
63,0.37636348605155945,0.4120461046695709,0.38401633501052856,0.37617552280426025
64,0.3885103464126587,0.4294792115688324,0.38309019804000854,0.38723957538604736
65,0.3798466920852661,0.4043503701686859,0.3681486248970032,0.38029322028160095
66,0.3847028911113739,0.40843552350997925,0.3654341697692871,0.3790452182292938
67,0.39157378673553467,0.4007006287574768,0.37107980251312256,0.3913581371307373
68,0.38526424765586853,0.4128054678440094,0.3784531056880951,0.37941980361938477
69,0.4004436433315277,0.4012807309627533,0.3661724925041199,0.3888337016105652
70,0.3905002176761627,0.3998066782951355,0.36411184072494507,0.3861440122127533
71,0.3972555696964264,0.39955222606658936,0.3707709014415741,0.3826141357421875
72,0.4008405804634094,0.4036170542240143,0.38158735632896423,0.39838090538978577
73,0.3942982852458954,0.4101119637489319,0.37376701831817627,0.38289523124694824
74,0.41578495502471924,0.39980727434158325,0.3746049106121063,0.4036734402179718
75,0.3952470123767853,0.4010530710220337,0.3837694823741913,0.38682928681373596
76,0.42139020562171936,0.4045916199684143,0.3915775418281555,0.39279186725616455
77,0.4020504951477051,0.4157142639160156,0.38687393069267273,0.40157759189605713
78,0.4041735827922821,0.4025788903236389,0.39280182123184204,0.3884010314941406
79,0.42475518584251404,0.40311479568481445,0.40792906284332275,0.41233453154563904
80,0.40342894196510315,0.4155592620372772,0.40076979994773865,0.3926478624343872
81,0.41929006576538086,0.40519651770591736,0.4054938554763794,0.4060653746128082
82,0.42247670888900757,0.4039653241634369,0.42103323340415955,0.40729594230651855
83,0.4101823568344116,0.41360095143318176,0.4089643657207489,0.40029746294021606
84,0.4360356330871582,0.4075036346912384,0.4150444567203522,0.42318835854530334
85,0.41965213418006897,0.40808188915252686,0.4264686703681946,0.4024936258792877
86,0.42521294951438904,0.4160526692867279,0.41082221269607544,0.4237997829914093
87,0.4425286054611206,0.41155746579170227,0.4297620952129364,0.40974804759025574
88,0.42452192306518555,0.4347500801086426,0.421530157327652,0.4145576059818268
89,0.4487697184085846,0.41963648796081543,0.42200350761413574,0.42425990104675293
90,0.4363724887371063,0.4170680046081543,0.4398220479488373,0.4114667773246765
91,0.44094279408454895,0.4576851725578308,0.422372430562973,0.44282883405685425
92,0.4558389484882355,0.4350702166557312,0.45132383704185486,0.41478484869003296
93,0.43987756967544556,0.43500015139579773,0.4288991391658783,0.44724294543266296
94,0.47405263781547546,0.4304278790950775,0.4467116594314575,0.4246810972690582
95,0.4439922273159027,0.48697933554649353,0.4452510476112366,0.4271671175956726
96,0.4722161293029785,0.401608407497406,0.4397679567337036,0.45093172788619995
97,0.4590908885002136,0.4138464331626892,0.4656749367713928,0.42557552456855774
98,0.4573487639427185,0.4048226773738861,0.44254064559936523,0.45347723364830017
99,0.48385336995124817,0.3991689085960388,0.4730907380580902,0.4397113025188446
100,0.45707008242607117,0.4418472349643707,0.4548876881599426,0.43857693672180176
101,0.49102863669395447,0.4264928996562958,0.4627349376678467,0.4646766781806946
102,0.4696565866470337,0.39854830503463745,0.479705274105072,0.4404551684856415
103,0.4776943325996399,0.3997363746166229,0.4618483781814575,0.4645516276359558
104,0.4958740174770355,0.39863455295562744,0.4972626566886902,0.45523932576179504
105,0.4754181206226349,0.3951990008354187,0.4696822762489319,0.45391952991485596
106,0.5109144449234009,0.41267937421798706,0.49123716354370117,0.4769781827926636
107,0.48382848501205444,0.429800808429718,0.4912406802177429,0.4545053243637085
108,0.5046223402023315,0.410447359085083,0.481120765209198,0.4900681674480438
109,0.5038291811943054,0.402187317609787,0.5145239233970642,0.46218881011009216
110,0.4972703158855438,0.4048623740673065,0.48388785123825073,0.4823099672794342
111,0.526395857334137,0.4053303599357605,0.5177406072616577,0.47908440232276917
112,0.49881061911582947,0.415157288312912,0.49966132640838623,0.47262701392173767
113,0.5400943160057068,0.4302803874015808,0.5023322701454163,0.500487208366394
114,0.5066194534301758,0.41546517610549927,0.5252567529678345,0.47327882051467896
115,0.5315461158752441,0.4078953266143799,0.49927714467048645,0.5174261331558228
116,0.5290014743804932,0.4112977683544159,0.5392187833786011,0.47994476556777954
117,0.5192044377326965,0.4201313555240631,0.5075894594192505,0.5039023756980896
118,0.5538089871406555,0.4379062354564667,0.5301753878593445,0.5046411156654358
119,0.5199740529060364,0.4267328083515167,0.5313016176223755,0.4881918132305145
120,0.5604262351989746,0.4182072579860687,0.5184654593467712,0.528285801410675
121,0.5328216552734375,0.42102059721946716,0.5554786920547485,0.4929180145263672
122,0.5441284775733948,0.43956458568573,0.5204622745513916,0.5219427943229675
123,0.5607045292854309,0.43815499544143677,0.562748372554779,0.5178648829460144
124,0.5372061133384705,0.4280855357646942,0.5359554886817932,0.5034059286117554
125,0.5790547132492065,0.43003755807876587,0.5448358058929443,0.5388911366462708
126,0.5420410633087158,0.4509744942188263,0.5649135112762451,0.5076357126235962
127,0.5737623572349548,0.4366844892501831,0.5375183820724487,0.5334168076515198
128,0.5639331340789795,0.43807512521743774,0.5843801498413086,0.5273138880729675
129,0.5578190088272095,0.45424985885620117,0.5449109673500061,0.5223257541656494
130,0.5899075269699097,0.44755321741104126,0.5779605507850647,0.5490211248397827
131,0.5581148862838745,0.4432482123374939,0.5756886601448059,0.5218777060508728
132,0.6013771295547485,0.4606176018714905,0.5568381547927856,0.5619157552719116
133,0.5676455497741699,0.4531340003013611,0.5985486507415771,0.5290083885192871
134,0.5908108353614807,0.4570961892604828,0.5583394169807434,0.5577911138534546
135,0.5934373140335083,0.4689260721206665,0.5996989011764526,0.5454806685447693
136,0.5777800679206848,0.45909661054611206,0.5829967260360718,0.5460659265518188
137,0.6176958680152893,0.49557584524154663,0.578053891658783,0.5668508410453796
138,0.5792916417121887,0.4638776183128357,0.6098717451095581,0.5434728264808655
139,0.625054657459259,0.48377278447151184,0.5738489031791687,0.5957690477371216
140,0.5924551486968994,0.4684763550758362,0.6190658211708069,0.5517293810844421
141,0.605980396270752,0.467696875333786,0.5881859064102173,0.5853480696678162
142,0.6243603825569153,0.4964120090007782,0.6074480414390564,0.5828909277915955
143,0.5960429310798645,0.4688858389854431,0.61726313829422,0.5579859614372253
144,0.6421340107917786,0.4922487139701843,0.5923124551773071,0.5954310894012451
145,0.6012673377990723,0.47783640027046204,0.6394341588020325,0.5653074383735657
146,0.6310109496116638,0.47303512692451477,0.5948535203933716,0.571744978427887
147,0.6279260516166687,0.509738028049469,0.6442343592643738,0.5968208312988281
148,0.6125264763832092,0.47996047139167786,0.6233476400375366,0.5677455067634583
149,0.6511973738670349,0.5034153461456299,0.6156184673309326,0.598187267780304
150,0.6148185133934021,0.4841785430908203,0.6512822508811951,0.5895572900772095
151,0.6545284986495972,0.47471269965171814,0.6089257597923279,0.5799118876457214
152,0.6280488967895508,0.5218812823295593,0.6569755673408508,0.6141039729118347
153,0.6420583128929138,0.48968347907066345,0.629982054233551,0.5826355814933777
154,0.6520392298698425,0.4967026710510254,0.6358354687690735,0.6148747801780701
155,0.633586585521698,0.5332266688346863,0.6615679860115051,0.5994527339935303
156,0.6780524253845215,0.4942123293876648,0.6259056925773621,0.5995599031448364
157,0.6354100704193115,0.49202820658683777,0.6706326603889465,0.6222958564758301
158,0.6894626617431641,0.5780818462371826,0.6371361017227173,0.5968408584594727
159,0.647511899471283,0.47902029752731323,0.6641438007354736,0.6408584117889404
160,0.6617005467414856,0.4819610118865967,0.6627330183982849,0.6039222478866577
