Epoch,ScalVis_GausCosS:1.0_RecL10N1024VS0.1loss,ScalVis_GausVisS:1.0_RecL10N1024VS0.1loss
1,0.6960068345069885,0.6903804540634155
2,0.6903465390205383,0.6878508925437927
3,0.6854182481765747,0.6854944229125977
4,0.6809155941009521,0.6832903027534485
5,0.6769762635231018,0.6812013387680054
6,0.6732667684555054,0.6791923642158508
7,0.6696638464927673,0.6771838665008545
8,0.6661568284034729,0.6750811338424683
9,0.6626406908035278,0.6729036569595337
10,0.659063458442688,0.6706606149673462
11,0.6553552746772766,0.6683126091957092
12,0.6515310406684875,0.6658658981323242
13,0.647577166557312,0.6633462905883789
14,0.6435005068778992,0.6607348918914795
15,0.6393269300460815,0.6580174565315247
16,0.6350659132003784,0.6551850438117981
17,0.630707859992981,0.652241587638855
18,0.6262279152870178,0.6491732001304626
19,0.6216195821762085,0.6459715366363525
20,0.6169092059135437,0.642633318901062
21,0.612097978591919,0.6391551494598389
22,0.607187807559967,0.6355546116828918
23,0.6022359728813171,0.6318302750587463
24,0.5972466468811035,0.627974808216095
25,0.592223584651947,0.6239834427833557
26,0.5872139930725098,0.6198707818984985
27,0.5822133421897888,0.6156444549560547
28,0.5772534012794495,0.6113201379776001
29,0.5723430514335632,0.6069036722183228
30,0.5674921870231628,0.6024075150489807
31,0.5627173781394958,0.5978414416313171
32,0.5580286383628845,0.5932334661483765
33,0.553442656993866,0.5886130332946777
34,0.5489860773086548,0.5840119123458862
35,0.5446600914001465,0.5794483423233032
36,0.5404568314552307,0.5749534964561462
37,0.5363753437995911,0.5705641508102417
38,0.5324224233627319,0.5663098096847534
39,0.528624415397644,0.5622148513793945
40,0.5249751210212708,0.5583018064498901
41,0.5214586853981018,0.5545852184295654
42,0.5180835127830505,0.5510929226875305
43,0.5148342847824097,0.54783695936203
44,0.5117269158363342,0.544833242893219
45,0.5087787508964539,0.5420806407928467
46,0.5059927105903625,0.5395798087120056
47,0.5033449530601501,0.537325382232666
48,0.5008465051651001,0.5353052616119385
49,0.4985169768333435,0.5335001349449158
50,0.49634063243865967,0.5318856239318848
51,0.4943198561668396,0.5304438471794128
52,0.4924488961696625,0.5291377305984497
53,0.4907327890396118,0.5279543399810791
54,0.4891892969608307,0.5268667340278625
55,0.48781099915504456,0.5258519649505615
56,0.48657840490341187,0.5248858332633972
57,0.4854799509048462,0.5239472389221191
58,0.4844891428947449,0.5230251550674438
59,0.4835807681083679,0.5221107602119446
60,0.4827192723751068,0.5211982131004333
61,0.48188674449920654,0.520283579826355
62,0.4810453951358795,0.5193691253662109
63,0.4801686704158783,0.5184651017189026
64,0.4792400896549225,0.5175775289535522
65,0.47824278473854065,0.5167116522789001
66,0.4771788418292999,0.5158573985099792
67,0.47605547308921814,0.5150095820426941
68,0.47487306594848633,0.5141617655754089
69,0.47365912795066833,0.5133053660392761
70,0.47243595123291016,0.5124288201332092
71,0.47122105956077576,0.5115254521369934
72,0.47005051374435425,0.5105956792831421
73,0.4689082205295563,0.5096399188041687
74,0.46780121326446533,0.508660614490509
75,0.466717392206192,0.5076594948768616
76,0.46564725041389465,0.5066450238227844
77,0.46456071734428406,0.5056174993515015
78,0.46343719959259033,0.504575788974762
79,0.4622809886932373,0.5035166144371033
80,0.4610939025878906,0.5024365782737732
81,0.4598774313926697,0.5013330578804016
82,0.4586337208747864,0.5002077221870422
83,0.4573889374732971,0.49906283617019653
84,0.4561578333377838,0.49790456891059875
85,0.4549320936203003,0.49674007296562195
86,0.45371055603027344,0.495571106672287
87,0.4524873197078705,0.49440255761146545
88,0.4512547552585602,0.49323293566703796
89,0.4500329792499542,0.4920617341995239
90,0.4488402009010315,0.49089011549949646
91,0.4476623833179474,0.489723801612854
92,0.4465084671974182,0.4885687232017517
93,0.4453631639480591,0.4874342381954193
94,0.4442204236984253,0.4863279461860657
95,0.44309407472610474,0.48524582386016846
96,0.4419803023338318,0.4841861426830292
97,0.4408736526966095,0.4831518232822418
98,0.43977952003479004,0.4821411967277527
99,0.4386933147907257,0.48115846514701843
100,0.4376191794872284,0.4801878333091736
101,0.43654975295066833,0.47922244668006897
102,0.4354914128780365,0.47826215624809265
103,0.4344376027584076,0.4773068428039551
104,0.4333930015563965,0.4763548970222473
105,0.4323570132255554,0.4753988981246948
106,0.43131884932518005,0.47443702816963196
107,0.4302856922149658,0.4734675884246826
108,0.4292508065700531,0.4724849462509155
109,0.42821604013442993,0.471489280462265
110,0.4271869957447052,0.4704784154891968
111,0.42616164684295654,0.4694593846797943
112,0.42513126134872437,0.46843376755714417
113,0.42409276962280273,0.4673948884010315
114,0.42304983735084534,0.46634262800216675
115,0.42199191451072693,0.46528318524360657
116,0.42091652750968933,0.4642200171947479
117,0.4198221266269684,0.4631478786468506
118,0.4187048375606537,0.46206414699554443
119,0.417585551738739,0.46097731590270996
120,0.4164612591266632,0.4598879814147949
121,0.4153081178665161,0.4587967097759247
122,0.4141409397125244,0.457699716091156
123,0.4129619896411896,0.456599622964859
124,0.4117712080478668,0.45549294352531433
125,0.41057145595550537,0.45437636971473694
126,0.4093460738658905,0.4532487988471985
127,0.4081093966960907,0.45210766792297363
128,0.4068743586540222,0.45096060633659363
129,0.4057384133338928,0.44979941844940186
130,0.4049570858478546,0.44862210750579834
131,0.4044717848300934,0.44742918014526367
132,0.4025632441043854,0.4462243318557739
133,0.40066537261009216,0.4450061023235321
134,0.400246262550354,0.44377198815345764
135,0.39920729398727417,0.44251883029937744
136,0.3973548412322998,0.44125500321388245
137,0.39648714661598206,0.43997922539711
138,0.3958525061607361,0.4386936128139496
139,0.39428839087486267,0.43740254640579224
140,0.3928889334201813,0.43609198927879333
141,0.3922315835952759,0.43476125597953796
142,0.3912902772426605,0.4334147274494171
143,0.3896923363208771,0.4320529103279114
144,0.3884151875972748,0.4306776523590088
145,0.38767004013061523,0.4292895495891571
146,0.3868884742259979,0.4278874099254608
147,0.3856801986694336,0.4264664649963379
148,0.38423770666122437,0.42502978444099426
149,0.38309767842292786,0.4235761761665344
150,0.3822919726371765,0.4221125543117523
151,0.38164079189300537,0.4206329584121704
152,0.3810504674911499,0.41912806034088135
153,0.3800826072692871,0.4175988435745239
154,0.3787137269973755,0.41605067253112793
155,0.37716948986053467,0.4144947826862335
156,0.3761414885520935,0.41292619705200195
157,0.3756246268749237,0.41135039925575256
158,0.3752947747707367,0.40977057814598083
159,0.37494102120399475,0.4081709384918213
160,0.3735812306404114,0.4065588414669037
161,0.3719065189361572,0.4049321413040161
162,0.37070801854133606,0.4032846987247467
163,0.37034761905670166,0.40161991119384766
164,0.3702729642391205,0.39992669224739075
165,0.36941879987716675,0.398215115070343
166,0.36805853247642517,0.39646852016448975
167,0.36659640073776245,0.3946846127510071
168,0.36588412523269653,0.3928547203540802
169,0.36572393774986267,0.39099740982055664
170,0.3653295934200287,0.3891163766384125
171,0.3645797371864319,0.3872350752353668
172,0.36309704184532166,0.3855910003185272
173,0.36187848448753357,0.38484975695610046
174,0.36126458644866943,0.3823963403701782
175,0.3610559105873108,0.37957313656806946
176,0.3609851598739624,0.3782731294631958
177,0.360347181558609,0.37623971700668335
178,0.35933956503868103,0.3737541437149048
179,0.35787004232406616,0.37212762236595154
180,0.35687506198883057,0.37018296122550964
181,0.3564838767051697,0.3678550720214844
182,0.35635948181152344,0.36593422293663025
183,0.3563683032989502,0.3641839325428009
184,0.35569143295288086,0.36213022470474243
185,0.3546344041824341,0.3598825931549072
186,0.35315635800361633,0.35793018341064453
187,0.35226526856422424,0.35621121525764465
188,0.3520565330982208,0.3543861210346222
189,0.35208258032798767,0.35249102115631104
190,0.3521583676338196,0.3501637876033783
191,0.35123807191848755,0.3479333817958832
192,0.34993261098861694,0.34590762853622437
193,0.3485599160194397,0.3441700339317322
194,0.34797459840774536,0.3428908884525299
195,0.34800371527671814,0.34218570590019226
196,0.3480144143104553,0.3427285850048065
197,0.3478243350982666,0.3395276665687561
198,0.3465629816055298,0.337050199508667
199,0.3451980948448181,0.3368806838989258
200,0.34423989057540894,0.33648526668548584
