Epoch,ScalVis_GausCosS:1.0_RecL10N1024VS0.1val_accuracy,ScalVis_GausVisS:1.0_RecL10N1024VS0.1val_accuracy
1,0.7333333492279053,0.6222222447395325
2,0.7777777910232544,0.6222222447395325
3,0.699999988079071,0.6222222447395325
4,0.6555555462837219,0.6222222447395325
5,0.6333333253860474,0.6222222447395325
6,0.6222222447395325,0.6222222447395325
7,0.6222222447395325,0.6222222447395325
8,0.6222222447395325,0.6222222447395325
9,0.6222222447395325,0.6222222447395325
10,0.6222222447395325,0.6222222447395325
11,0.6222222447395325,0.6222222447395325
12,0.6222222447395325,0.6222222447395325
13,0.6222222447395325,0.6222222447395325
14,0.6222222447395325,0.6222222447395325
15,0.6222222447395325,0.6222222447395325
16,0.6222222447395325,0.6222222447395325
17,0.6222222447395325,0.6222222447395325
18,0.6222222447395325,0.6222222447395325
19,0.6222222447395325,0.6222222447395325
20,0.6222222447395325,0.6222222447395325
21,0.6222222447395325,0.6222222447395325
22,0.6222222447395325,0.6222222447395325
23,0.6222222447395325,0.6222222447395325
24,0.6222222447395325,0.6222222447395325
25,0.6222222447395325,0.6222222447395325
26,0.6222222447395325,0.6222222447395325
27,0.6222222447395325,0.6222222447395325
28,0.6222222447395325,0.6222222447395325
29,0.6333333253860474,0.6222222447395325
30,0.6333333253860474,0.6222222447395325
31,0.6333333253860474,0.6222222447395325
32,0.6333333253860474,0.6222222447395325
33,0.6555555462837219,0.6222222447395325
34,0.6555555462837219,0.6222222447395325
35,0.6888889074325562,0.6222222447395325
36,0.7333333492279053,0.6222222447395325
37,0.7555555701255798,0.6222222447395325
38,0.7888888716697693,0.6222222447395325
39,0.7777777910232544,0.6222222447395325
40,0.7666666507720947,0.6222222447395325
41,0.7666666507720947,0.6222222447395325
42,0.7666666507720947,0.6222222447395325
43,0.7666666507720947,0.6222222447395325
44,0.7666666507720947,0.6222222447395325
45,0.7666666507720947,0.6222222447395325
46,0.7666666507720947,0.6222222447395325
47,0.7666666507720947,0.6222222447395325
48,0.7666666507720947,0.6222222447395325
49,0.7666666507720947,0.6222222447395325
50,0.7777777910232544,0.6222222447395325
51,0.7777777910232544,0.6222222447395325
52,0.7777777910232544,0.6222222447395325
53,0.7888888716697693,0.6222222447395325
54,0.7888888716697693,0.6222222447395325
55,0.800000011920929,0.6555555462837219
56,0.800000011920929,0.699999988079071
57,0.800000011920929,0.7333333492279053
58,0.800000011920929,0.7666666507720947
59,0.800000011920929,0.7777777910232544
60,0.800000011920929,0.7666666507720947
61,0.800000011920929,0.7666666507720947
62,0.800000011920929,0.7666666507720947
63,0.800000011920929,0.7666666507720947
64,0.800000011920929,0.7666666507720947
65,0.800000011920929,0.7666666507720947
66,0.800000011920929,0.7666666507720947
67,0.800000011920929,0.7666666507720947
68,0.800000011920929,0.7666666507720947
69,0.800000011920929,0.7666666507720947
70,0.800000011920929,0.7666666507720947
71,0.800000011920929,0.7666666507720947
72,0.800000011920929,0.7666666507720947
73,0.800000011920929,0.7666666507720947
74,0.800000011920929,0.7666666507720947
75,0.800000011920929,0.7777777910232544
76,0.800000011920929,0.7777777910232544
77,0.800000011920929,0.7777777910232544
78,0.800000011920929,0.7777777910232544
79,0.800000011920929,0.7777777910232544
80,0.800000011920929,0.7777777910232544
81,0.800000011920929,0.7777777910232544
82,0.800000011920929,0.7777777910232544
83,0.800000011920929,0.7777777910232544
84,0.800000011920929,0.7777777910232544
85,0.800000011920929,0.7777777910232544
86,0.800000011920929,0.800000011920929
87,0.800000011920929,0.800000011920929
88,0.800000011920929,0.800000011920929
89,0.800000011920929,0.800000011920929
90,0.800000011920929,0.800000011920929
91,0.800000011920929,0.800000011920929
92,0.800000011920929,0.800000011920929
93,0.800000011920929,0.800000011920929
94,0.800000011920929,0.8111110925674438
95,0.800000011920929,0.8111110925674438
96,0.800000011920929,0.8111110925674438
97,0.800000011920929,0.8111110925674438
98,0.800000011920929,0.8111110925674438
99,0.800000011920929,0.8111110925674438
100,0.800000011920929,0.8111110925674438
101,0.800000011920929,0.8111110925674438
102,0.800000011920929,0.8111110925674438
103,0.800000011920929,0.8111110925674438
104,0.800000011920929,0.8111110925674438
105,0.800000011920929,0.8111110925674438
106,0.800000011920929,0.8111110925674438
107,0.800000011920929,0.8111110925674438
108,0.800000011920929,0.8111110925674438
109,0.800000011920929,0.8111110925674438
110,0.800000011920929,0.8111110925674438
111,0.800000011920929,0.8111110925674438
112,0.800000011920929,0.8111110925674438
113,0.800000011920929,0.8111110925674438
114,0.800000011920929,0.8111110925674438
115,0.800000011920929,0.8111110925674438
116,0.8111110925674438,0.8111110925674438
117,0.8111110925674438,0.8111110925674438
118,0.8111110925674438,0.8111110925674438
119,0.8222222328186035,0.800000011920929
120,0.8222222328186035,0.800000011920929
121,0.8222222328186035,0.800000011920929
122,0.8222222328186035,0.800000011920929
123,0.8222222328186035,0.800000011920929
124,0.8333333134651184,0.800000011920929
125,0.8333333134651184,0.8111110925674438
126,0.8333333134651184,0.8111110925674438
127,0.8333333134651184,0.8111110925674438
128,0.8444444537162781,0.8111110925674438
129,0.8111110925674438,0.8111110925674438
130,0.855555534362793,0.8111110925674438
131,0.8111110925674438,0.8111110925674438
132,0.8111110925674438,0.8111110925674438
133,0.855555534362793,0.8111110925674438
134,0.800000011920929,0.8111110925674438
135,0.8444444537162781,0.8111110925674438
136,0.8444444537162781,0.8111110925674438
137,0.8111110925674438,0.8111110925674438
138,0.8444444537162781,0.8111110925674438
139,0.8333333134651184,0.8111110925674438
140,0.8444444537162781,0.8111110925674438
141,0.8444444537162781,0.8111110925674438
142,0.8333333134651184,0.8111110925674438
143,0.8333333134651184,0.8111110925674438
144,0.8444444537162781,0.8111110925674438
145,0.8444444537162781,0.8111110925674438
146,0.8444444537162781,0.8111110925674438
147,0.855555534362793,0.8111110925674438
148,0.8444444537162781,0.8111110925674438
149,0.8333333134651184,0.8111110925674438
150,0.8444444537162781,0.8111110925674438
151,0.8444444537162781,0.8111110925674438
152,0.8444444537162781,0.8111110925674438
153,0.855555534362793,0.8111110925674438
154,0.855555534362793,0.8111110925674438
155,0.8444444537162781,0.8111110925674438
156,0.8444444537162781,0.8111110925674438
157,0.855555534362793,0.8111110925674438
158,0.855555534362793,0.8111110925674438
159,0.8666666746139526,0.8111110925674438
160,0.8444444537162781,0.8111110925674438
161,0.8444444537162781,0.8111110925674438
162,0.8666666746139526,0.8111110925674438
163,0.8444444537162781,0.8111110925674438
164,0.8666666746139526,0.8111110925674438
165,0.8444444537162781,0.8111110925674438
166,0.8444444537162781,0.8222222328186035
167,0.8666666746139526,0.8222222328186035
168,0.8444444537162781,0.8333333134651184
169,0.8666666746139526,0.8222222328186035
170,0.8444444537162781,0.8222222328186035
171,0.8666666746139526,0.8222222328186035
172,0.855555534362793,0.8444444537162781
173,0.8444444537162781,0.8444444537162781
174,0.8666666746139526,0.8444444537162781
175,0.8444444537162781,0.8444444537162781
176,0.8666666746139526,0.855555534362793
177,0.8444444537162781,0.8444444537162781
178,0.8666666746139526,0.855555534362793
179,0.855555534362793,0.8666666746139526
180,0.855555534362793,0.855555534362793
181,0.8666666746139526,0.855555534362793
182,0.855555534362793,0.8666666746139526
183,0.8666666746139526,0.855555534362793
184,0.855555534362793,0.8666666746139526
185,0.8666666746139526,0.8666666746139526
186,0.855555534362793,0.855555534362793
187,0.855555534362793,0.8666666746139526
188,0.8666666746139526,0.855555534362793
189,0.855555534362793,0.8666666746139526
190,0.8666666746139526,0.8666666746139526
191,0.855555534362793,0.8666666746139526
192,0.8666666746139526,0.8666666746139526
193,0.8666666746139526,0.855555534362793
194,0.855555534362793,0.855555534362793
195,0.8666666746139526,0.8444444537162781
196,0.855555534362793,0.855555534362793
197,0.8666666746139526,0.855555534362793
198,0.855555534362793,0.8333333134651184
199,0.855555534362793,0.8333333134651184
200,0.8666666746139526,0.8333333134651184
