Epoch,ScalVis_GausVisS:1.0_RecL10N1024accuracy,ScalVis_DataProcCombine_RecL10N1024accuracy,ScalVis_GaussAndOrigS:1.0_RecL10N1024accuracy,ScalVis_ProcWithVis_RecL10N1024accuracy
1,0.6154806613922119,0.3845193386077881,0.6217228174209595,0.6154806613922119
2,0.6154806613922119,0.641697883605957,0.6154806613922119,0.6154806613922119
3,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
4,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
5,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
6,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
7,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
8,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
9,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
10,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
11,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
12,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
13,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
14,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
15,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
16,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
17,0.6154806613922119,0.6154806613922119,0.6154806613922119,0.6154806613922119
18,0.6154806613922119,0.6192259788513184,0.6866416931152344,0.6154806613922119
19,0.6154806613922119,0.6779026389122009,0.7890137434005737,0.6154806613922119
20,0.6154806613922119,0.7640449404716492,0.7902621626853943,0.6154806613922119
21,0.7752808928489685,0.7977527976036072,0.7940074801445007,0.6379525661468506
22,0.7890137434005737,0.8002496957778931,0.7952559590339661,0.7240948677062988
23,0.7890137434005737,0.802746593952179,0.7977527976036072,0.7677902579307556
24,0.7890137434005737,0.8114856481552124,0.7977527976036072,0.7952559590339661
25,0.7890137434005737,0.8102372288703918,0.7990012764930725,0.7952559590339661
26,0.7890137434005737,0.8102372288703918,0.8014981150627136,0.802746593952179
27,0.7902621626853943,0.8089887499809265,0.7990012764930725,0.802746593952179
28,0.7952559590339661,0.8102372288703918,0.7977527976036072,0.8002496957778931
29,0.7977527976036072,0.812734067440033,0.7990012764930725,0.8052434325218201
30,0.7977527976036072,0.8177278637886047,0.8002496957778931,0.8089887499809265
31,0.7965043783187866,0.8227216005325317,0.7990012764930725,0.8089887499809265
32,0.7965043783187866,0.8252184987068176,0.7990012764930725,0.807740330696106
33,0.7977527976036072,0.8227216005325317,0.8039950132369995,0.8114856481552124
34,0.7977527976036072,0.8214731812477112,0.8064919114112854,0.812734067440033
35,0.8039950132369995,0.8164793848991394,0.807740330696106,0.8139825463294983
36,0.8064919114112854,0.8189762830734253,0.812734067440033,0.812734067440033
37,0.807740330696106,0.8252184987068176,0.8139825463294983,0.8114856481552124
38,0.8064919114112854,0.8352059721946716,0.8139825463294983,0.8102372288703918
39,0.8089887499809265,0.8389512896537781,0.8202247023582458,0.8064919114112854
40,0.8102372288703918,0.8389512896537781,0.8214731812477112,0.807740330696106
41,0.812734067440033,0.8439450860023499,0.8202247023582458,0.8102372288703918
42,0.8114856481552124,0.841448187828064,0.8189762830734253,0.807740330696106
43,0.8164793848991394,0.846441924571991,0.8114856481552124,0.8114856481552124
44,0.8189762830734253,0.8526841402053833,0.8139825463294983,0.8164793848991394
45,0.8189762830734253,0.8476904034614563,0.8189762830734253,0.8177278637886047
46,0.8164793848991394,0.8551810383796692,0.8152309656143188,0.8189762830734253
47,0.812734067440033,0.8551810383796692,0.8189762830734253,0.8227216005325317
48,0.812734067440033,0.8551810383796692,0.8177278637886047,0.8339575529098511
49,0.8152309656143188,0.8664169907569885,0.8214731812477112,0.836454451084137
50,0.812734067440033,0.870162308216095,0.8202247023582458,0.841448187828064
51,0.8164793848991394,0.8676654100418091,0.8189762830734253,0.8439450860023499
52,0.8202247023582458,0.870162308216095,0.8239700198173523,0.8426966071128845
53,0.8202247023582458,0.8826466798782349,0.8252184987068176,0.846441924571991
54,0.8202247023582458,0.8801498413085938,0.8302122354507446,0.8489388227462769
55,0.8239700198173523,0.8813982605934143,0.8264669179916382,0.846441924571991
56,0.8227216005325317,0.8863919973373413,0.8314606547355652,0.8489388227462769
57,0.8239700198173523,0.8838951587677002,0.8302122354507446,0.846441924571991
58,0.8214731812477112,0.8913857936859131,0.8327091336250305,0.8539325594902039
59,0.8264669179916382,0.8863919973373413,0.8302122354507446,0.8564294576644897
60,0.8277153372764587,0.8826466798782349,0.8314606547355652,0.8514357209205627
61,0.8264669179916382,0.8926342129707336,0.8314606547355652,0.8576778769493103
62,0.8264669179916382,0.8938826322555542,0.8327091336250305,0.8514357209205627
63,0.8277153372764587,0.8901373147964478,0.8339575529098511,0.8614231944084167
64,0.8352059721946716,0.8976279497146606,0.8352059721946716,0.8626716732978821
65,0.8302122354507446,0.8976279497146606,0.836454451084137,0.8639200925827026
66,0.8339575529098511,0.9013732671737671,0.8339575529098511,0.8576778769493103
67,0.8352059721946716,0.9001248478889465,0.841448187828064,0.8676654100418091
68,0.8377028703689575,0.9013732671737671,0.8426966071128845,0.8714107275009155
69,0.8439450860023499,0.9013732671737671,0.8514357209205627,0.8664169907569885
70,0.8501872420310974,0.9013732671737671,0.8539325594902039,0.8651685118675232
71,0.8277153372764587,0.898876428604126,0.8551810383796692,0.8676654100418091
72,0.8476904034614563,0.8888888955116272,0.8426966071128845,0.8689138293266296
73,0.8526841402053833,0.9013732671737671,0.8564294576644897,0.8676654100418091
74,0.8526841402053833,0.9051185846328735,0.8551810383796692,0.8676654100418091
75,0.8426966071128845,0.8901373147964478,0.8564294576644897,0.870162308216095
76,0.8539325594902039,0.9076154828071594,0.8377028703689575,0.8726591467857361
77,0.8539325594902039,0.90886390209198,0.8614231944084167,0.870162308216095
78,0.8564294576644897,0.90886390209198,0.8626716732978821,0.8726591467857361
79,0.8539325594902039,0.9001248478889465,0.8601747751235962,0.8764045238494873
80,0.8526841402053833,0.9101123809814453,0.8676654100418091,0.875156044960022
81,0.8589263558387756,0.9076154828071594,0.8639200925827026,0.8764045238494873
82,0.8551810383796692,0.90886390209198,0.8639200925827026,0.875156044960022
83,0.8601747751235962,0.9113608002662659,0.8614231944084167,0.8801498413085938
84,0.8614231944084167,0.9163545370101929,0.8664169907569885,0.8838951587677002
85,0.8626716732978821,0.9101123809814453,0.8601747751235962,0.8789013624191284
86,0.8551810383796692,0.9101123809814453,0.870162308216095,0.8838951587677002
87,0.8626716732978821,0.9138576984405518,0.870162308216095,0.8851435780525208
88,0.8651685118675232,0.9126092195510864,0.8689138293266296,0.8838951587677002
89,0.8626716732978821,0.9113608002662659,0.8739076256752014,0.8863919973373413
90,0.8601747751235962,0.9138576984405518,0.8726591467857361,0.8863919973373413
91,0.8651685118675232,0.9188514351844788,0.8714107275009155,0.8913857936859131
92,0.8726591467857361,0.9126092195510864,0.8726591467857361,0.8888888955116272
93,0.8601747751235962,0.9138576984405518,0.8726591467857361,0.8901373147964478
94,0.8639200925827026,0.9188514351844788,0.8726591467857361,0.8913857936859131
95,0.8689138293266296,0.9151061177253723,0.8776529431343079,0.8938826322555542
96,0.8689138293266296,0.9151061177253723,0.875156044960022,0.898876428604126
97,0.870162308216095,0.9225967526435852,0.8764045238494873,0.8938826322555542
98,0.8664169907569885,0.9113608002662659,0.8789013624191284,0.8963795304298401
99,0.8714107275009155,0.9151061177253723,0.8789013624191284,0.8838951587677002
100,0.875156044960022,0.9213483333587646,0.8776529431343079,0.8976279497146606
101,0.8776529431343079,0.90886390209198,0.8789013624191284,0.8976279497146606
102,0.8714107275009155,0.9188514351844788,0.8838951587677002,0.9001248478889465
103,0.870162308216095,0.9225967526435852,0.8863919973373413,0.9013732671737671
104,0.8726591467857361,0.9076154828071594,0.8838951587677002,0.8851435780525208
105,0.8764045238494873,0.9176030158996582,0.8851435780525208,0.9013732671737671
106,0.875156044960022,0.8938826322555542,0.8863919973373413,0.8926342129707336
107,0.8863919973373413,0.90886390209198,0.8876404762268066,0.9051185846328735
108,0.8801498413085938,0.9101123809814453,0.8876404762268066,0.9051185846328735
109,0.875156044960022,0.9213483333587646,0.8888888955116272,0.8876404762268066
110,0.8851435780525208,0.9176030158996582,0.8901373147964478,0.903870165348053
111,0.8789013624191284,0.9101123809814453,0.8838951587677002,0.9001248478889465
112,0.8801498413085938,0.9101123809814453,0.8813982605934143,0.9063670635223389
113,0.8851435780525208,0.9263420701026917,0.8726591467857361,0.903870165348053
114,0.875156044960022,0.9188514351844788,0.8863919973373413,0.8951311111450195
115,0.8838951587677002,0.9113608002662659,0.8651685118675232,0.9051185846328735
116,0.8789013624191284,0.9101123809814453,0.8626716732978821,0.903870165348053
117,0.8838951587677002,0.9213483333587646,0.8739076256752014,0.9076154828071594
118,0.8888888955116272,0.9213483333587646,0.8789013624191284,0.9051185846328735
119,0.8826466798782349,0.9151061177253723,0.8626716732978821,0.903870165348053
120,0.8838951587677002,0.9101123809814453,0.8876404762268066,0.9063670635223389
