Epoch,ScalVis_GausVisS:1.0_RecL10N1024VS0.75loss,ScalVis_GausVisS:1.0_RecL10N1024VS0.5loss,ScalVis_GausVisS:1.0_RecL10N1024VS0.25loss,ScalVis_GausVisS:1.0_RecL10N1024VS0.1loss,ScalVis_GausVisS:1.0_RecL10N1024VS0.95loss
1,0.696701169013977,0.6931136846542358,0.6940606832504272,0.6925162076950073,0.6935924887657166
2,0.6874407529830933,0.6826575398445129,0.6870412826538086,0.684894323348999,0.687800943851471
3,0.6797398924827576,0.6740275621414185,0.680787205696106,0.6780786514282227,0.683070719242096
4,0.6720540523529053,0.6645659804344177,0.673862636089325,0.6702563166618347,0.6778469085693359
5,0.6631734371185303,0.653558611869812,0.6657708287239075,0.6607710123062134,0.6716808080673218
6,0.6524824500083923,0.6407296061515808,0.6561419367790222,0.6491633653640747,0.6642810702323914
7,0.6397851705551147,0.6262380480766296,0.6446263790130615,0.6356467604637146,0.655349850654602
8,0.6250298023223877,0.610744059085846,0.6311758160591125,0.620306134223938,0.6449385285377502
9,0.6086374521255493,0.5951516032218933,0.6161293387413025,0.6036249399185181,0.633129358291626
10,0.591377854347229,0.5808590054512024,0.6002942323684692,0.5865505337715149,0.6201733946800232
11,0.5745318531990051,0.569405734539032,0.5848610401153564,0.5705828666687012,0.6064366102218628
12,0.5599722266197205,0.5618459582328796,0.5715489983558655,0.5573105216026306,0.5926897525787354
13,0.549635112285614,0.5578430891036987,0.5619871616363525,0.5478252172470093,0.5795946717262268
14,0.5442401170730591,0.5552935004234314,0.5566278100013733,0.5418775081634521,0.5675818920135498
15,0.5419678688049316,0.5520340204238892,0.55368971824646,0.5377460718154907,0.5565462112426758
16,0.539307177066803,0.5474675297737122,0.5505289435386658,0.5334394574165344,0.5459926128387451
17,0.534415602684021,0.5421995520591736,0.5458653569221497,0.5284000635147095,0.535114049911499
18,0.5278899073600769,0.5379060506820679,0.5402337908744812,0.5232541561126709,0.5229753851890564
19,0.5213233828544617,0.5358164310455322,0.5354482531547546,0.519778311252594,0.509284496307373
20,0.5166683197021484,0.5344259738922119,0.5332375168800354,0.5182599425315857,0.49359777569770813
21,0.5145294666290283,0.5305333733558655,0.5331407785415649,0.5150941610336304,0.47598543763160706
22,0.5129870772361755,0.5250203013420105,0.5314807891845703,0.5093562006950378,0.4563661813735962
23,0.5090107321739197,0.5209592580795288,0.5271502733230591,0.5048112869262695,0.4345516860485077
24,0.503089189529419,0.5184110403060913,0.5230740308761597,0.5022119283676147,0.4102209210395813
25,0.49807238578796387,0.5148918628692627,0.5210474729537964,0.49864718317985535,0.38346776366233826
26,0.49481892585754395,0.5096663236618042,0.5194428563117981,0.49361538887023926,0.35475611686706543
27,0.49146848917007446,0.5055280923843384,0.5162329077720642,0.49072110652923584,0.3252520263195038
28,0.4865148663520813,0.503505289554596,0.5119015574455261,0.48886752128601074,0.29653018712997437
29,0.4806891083717346,0.49833443760871887,0.5090324878692627,0.48439761996269226,0.26864534616470337
30,0.4766800105571747,0.49446019530296326,0.5076094269752502,0.48300066590309143,0.2406759113073349
31,0.4736618101596832,0.4920414388179779,0.5037038326263428,0.4807620644569397,0.212388277053833
32,0.46736061573028564,0.4872543215751648,0.4999006390571594,0.47768712043762207,0.1882830560207367
33,0.46281927824020386,0.4850805997848511,0.49819207191467285,0.4769388437271118,0.18825305998325348
34,0.4592188000679016,0.48127755522727966,0.49531295895576477,0.47301435470581055,0.224590003490448
35,0.45329728722572327,0.47828108072280884,0.49192461371421814,0.47152405977249146,0.1570890247821808
36,0.4502769112586975,0.47538048028945923,0.49108725786209106,0.4676244556903839,0.2065810263156891
37,0.4454779326915741,0.47142139077186584,0.48785775899887085,0.46545112133026123,0.14255033433437347
38,0.441787987947464,0.46860167384147644,0.48593610525131226,0.4616253077983856,0.16718560457229614
39,0.4373469352722168,0.46420279145240784,0.48373669385910034,0.4593907296657562,0.15854567289352417
40,0.4330821633338928,0.4607996940612793,0.4802078306674957,0.45604172348976135,0.11998488754034042
41,0.4271274507045746,0.45637020468711853,0.47825485467910767,0.4540736973285675,0.15696674585342407
42,0.4233783781528473,0.4527795612812042,0.47418296337127686,0.4505784511566162,0.11458351463079453
43,0.41773495078086853,0.4490172564983368,0.4719840884208679,0.44849786162376404,0.1431417316198349
44,0.4126872718334198,0.44474363327026367,0.4681221544742584,0.4450601637363434,0.10783036053180695
45,0.40857869386672974,0.44141173362731934,0.4659940004348755,0.4424506425857544,0.1307699829339981
46,0.40418776869773865,0.43651482462882996,0.46204033493995667,0.43965384364128113,0.10364982485771179
47,0.40089496970176697,0.43228504061698914,0.45956677198410034,0.4357583224773407,0.11475003510713577
48,0.39323529601097107,0.42833614349365234,0.45570021867752075,0.433355450630188,0.11146104335784912
49,0.38723254203796387,0.4234650135040283,0.4525458514690399,0.43115559220314026,0.09708144515752792
50,0.3831380307674408,0.4187500476837158,0.44934624433517456,0.4264093041419983,0.10770368576049805
51,0.382772833108902,0.4150533378124237,0.4450203776359558,0.42330867052078247,0.09275772422552109
52,0.3947974741458893,0.4123072624206543,0.4420817792415619,0.42169520258903503,0.1015160083770752
53,0.36837005615234375,0.4077353775501251,0.4392879605293274,0.41762685775756836,0.08691678196191788
54,0.3915118873119354,0.4033518135547638,0.4344671666622162,0.4136544167995453,0.09615304321050644
55,0.38992413878440857,0.3981759548187256,0.4307762682437897,0.41038456559181213,0.08408685773611069
56,0.395501047372818,0.39445796608924866,0.4283577501773834,0.40810173749923706,0.08951983600854874
57,0.3551386892795563,0.39250168204307556,0.4250275492668152,0.4070105254650116,0.07957332581281662
58,0.4040590822696686,0.3912440836429596,0.4216371774673462,0.4030236005783081,0.08398929238319397
59,0.34923043847084045,0.39380693435668945,0.41698190569877625,0.3995306193828583,0.07974379509687424
60,0.37685340642929077,0.3798927664756775,0.4135918915271759,0.39575451612472534,0.07612523436546326
61,0.3678763806819916,0.3866118788719177,0.41143086552619934,0.39318495988845825,0.07920808345079422
62,0.3387508690357208,0.39431703090667725,0.40965157747268677,0.3921140730381012,0.07004354149103165
63,0.36302798986434937,0.38068610429763794,0.40972375869750977,0.39173969626426697,0.07486602663993835
64,0.3377074599266052,0.38305509090423584,0.40117621421813965,0.39787834882736206,0.06713971495628357
65,0.33457809686660767,0.3659595847129822,0.3984789252281189,0.3818994164466858,0.06989949196577072
66,0.34305572509765625,0.37121108174324036,0.40078073740005493,0.3947916328907013,0.06853022426366806
67,0.32763710618019104,0.3644576072692871,0.3917226195335388,0.40045642852783203,0.06300434470176697
68,0.3176092207431793,0.36172282695770264,0.38863903284072876,0.3962198495864868,0.06734961271286011
69,0.3267867863178253,0.3588891625404358,0.39040398597717285,0.37582099437713623,0.061899974942207336
70,0.3074894845485687,0.35527658462524414,0.3824062943458557,0.39656397700309753,0.06009862571954727
71,0.3095565438270569,0.3542031943798065,0.37912794947624207,0.3750542998313904,0.06280461698770523
72,0.30822044610977173,0.3477068245410919,0.3801579475402832,0.3917348384857178,0.05773294344544411
73,0.294168084859848,0.34828487038612366,0.37431636452674866,0.3774385452270508,0.05638236925005913
74,0.2982730567455292,0.34374359250068665,0.369625061750412,0.36820188164711,0.05805003270506859
75,0.2880907356739044,0.34115415811538696,0.3661903738975525,0.38219526410102844,0.05399978160858154
76,0.2846951186656952,0.33948057889938354,0.364426851272583,0.3620167374610901,0.05282801017165184
77,0.2836466431617737,0.33209744095802307,0.3684808313846588,0.36942002177238464,0.054248787462711334
78,0.27227428555488586,0.33144116401672363,0.36666542291641235,0.36831992864608765,0.05151495710015297
79,0.27583882212638855,0.3285590708255768,0.377246230840683,0.3559193015098572,0.049415137618780136
80,0.2641325294971466,0.3241823613643646,0.35363394021987915,0.3622768223285675,0.05060029402375221
81,0.2661267817020416,0.32021892070770264,0.39591917395591736,0.35440826416015625,0.04919921234250069
82,0.2561218738555908,0.31906628608703613,0.38265419006347656,0.35174062848091125,0.04683816805481911
83,0.2602604329586029,0.3253999650478363,0.4094782769680023,0.3539402186870575,0.04728468507528305
84,0.2549969255924225,0.33056217432022095,0.36864057183265686,0.34396180510520935,0.04707261174917221
85,0.25087809562683105,0.3657260239124298,0.36008569598197937,0.34969887137413025,0.04486827552318573
86,0.2546162009239197,0.32727497816085815,0.3868807554244995,0.34010550379753113,0.04412253201007843
87,0.245095893740654,0.38923826813697815,0.3479957580566406,0.34308698773384094,0.04459168016910553
88,0.24285581707954407,0.33514079451560974,0.36498400568962097,0.336899995803833,0.04335564747452736
89,0.24549151957035065,0.37930071353912354,0.37308162450790405,0.3390789031982422,0.041914623230695724
90,0.2398681938648224,0.3401198387145996,0.35560306906700134,0.3309168815612793,0.0419633612036705
91,0.23400816321372986,0.31517741084098816,0.3461337387561798,0.333889901638031,0.04179529845714569
92,0.24205619096755981,0.3633434772491455,0.3611089587211609,0.3267906606197357,0.04073329269886017
93,0.2469736933708191,0.31196489930152893,0.355383038520813,0.3299963176250458,0.039890486747026443
94,0.22879508137702942,0.325820654630661,0.34147658944129944,0.3281092345714569,0.03986535966396332
95,0.255557656288147,0.3398081362247467,0.34724947810173035,0.32148486375808716,0.03970620781183243
96,0.2751389145851135,0.3251718282699585,0.3510182797908783,0.3274919390678406,0.03885386139154434
97,0.2539459466934204,0.31092068552970886,0.3409896790981293,0.3233863413333893,0.038251619786024094
98,0.25879889726638794,0.32367122173309326,0.3356754183769226,0.3171013295650482,0.038168784230947495
99,0.22635866701602936,0.3220592141151428,0.3427170217037201,0.32692810893058777,0.03801529482007027
100,0.24301305413246155,0.3073723316192627,0.33415326476097107,0.3266805410385132,0.037492748349905014
101,0.2323521226644516,0.3122830092906952,0.33064764738082886,0.31416618824005127,0.03692850098013878
102,0.2380024790763855,0.3170181214809418,0.3352677822113037,0.32798805832862854,0.036756835877895355
103,0.22444698214530945,0.30882948637008667,0.328125923871994,0.31602776050567627,0.03671659529209137
104,0.2317749261856079,0.3032377362251282,0.32457223534584045,0.31498897075653076,0.03648669645190239
105,0.22653904557228088,0.3088909089565277,0.32824113965034485,0.318493515253067,0.036080583930015564
106,0.2252226173877716,0.3052157759666443,0.31958022713661194,0.3060394823551178,0.0357026606798172
107,0.22346974909305573,0.2976408898830414,0.32326823472976685,0.3128430247306824,0.03552249073982239
108,0.22254593670368195,0.3010958135128021,0.3177796006202698,0.3036418557167053,0.03545508161187172
109,0.22191473841667175,0.30069252848625183,0.3181878924369812,0.30851975083351135,0.0353877916932106
110,0.2208312302827835,0.2937241196632385,0.3152632713317871,0.3073035180568695,0.03525441512465477
111,0.21681144833564758,0.2950698733329773,0.3140805661678314,0.3009280562400818,0.03502284362912178
112,0.21852384507656097,0.29410821199417114,0.3130760192871094,0.3076501786708832,0.034782763570547104
113,0.2157643735408783,0.2889919579029083,0.3105631172657013,0.2994316816329956,0.034554146230220795
114,0.21627262234687805,0.2907041013240814,0.30838537216186523,0.2997359037399292,0.034364890307188034
115,0.21257764101028442,0.28796812891960144,0.30838483572006226,0.3024064600467682,0.034216154366731644
116,0.2133118212223053,0.2850819528102875,0.30439692735671997,0.2955213189125061,0.034082211554050446
117,0.2125268429517746,0.28579646348953247,0.30649828910827637,0.29492950439453125,0.03398197516798973
118,0.20865899324417114,0.28127530217170715,0.3022463321685791,0.29692888259887695,0.03392457589507103
119,0.20918764173984528,0.28269290924072266,0.2999533414840698,0.2930471897125244,0.03393333777785301
120,0.20816384255886078,0.27913838624954224,0.30170348286628723,0.2891654968261719,0.03413008153438568
